index,ref,startpos,endpos,number of reads,covbases,coverage,meandepth,meanbaseq,meanmapq,taxid,superkingdom,kingdom,phylum,class,order,family,genus,species,mean,sd,Coefficient of Variance,pcreads,alias
90,NR_133027.1,1,1519,18,1418,93.3509,16.4542,38.5,1.39,1232428,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis,16.4542462146149,4.60513047455678,0.279874897609496,0.09,JOA-3-MGE-L225
91,NR_133981.1,1,1421,10,1337,94.0887,9.25194,39.9,49.7,1329411,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium aesculapii,9.25193525686137,2.40477915855888,0.259921745212761,0.05,JOA-3-MGE-L225
92,NR_134080.1,1,1566,1,1398,89.272,0.89272,34.4,1,879612,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera indica,0.89272030651341,0.309567369447039,0.346768598393464,0.01,JOA-3-MGE-L225
93,NR_144616.1,1,1460,2,1153,78.9726,1.56986,37.2,1,1796646,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum intestinale,1.56986301369863,0.816163803041162,0.519894918167581,0.01,JOA-3-MGE-L225
94,NR_144744.1,1,1491,96,1396,93.6284,88.0758,38.9,9.55,1841856,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides mediterraneensis,88.0757880617036,24.3021588229466,0.275923262882657,0.49,JOA-3-MGE-L225
95,NR_144746.1,1,1494,150,1399,93.6412,136.383,39,4.63,1841864,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Marseilla,Marseilla massiliensis,136.382864792503,39.6709760042832,0.29087947422603,0.77,JOA-3-MGE-L225
96,NR_144747.1,1,1491,3,1379,92.4883,2.72971,37.8,4.33,1841865,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Mediterranea,Mediterranea massiliensis,2.72971160295104,0.826602075122501,0.302816632434312,0.02,JOA-3-MGE-L225
97,NR_144750.1,1,1493,1869,1400,93.7709,1691.84,38.2,49.9,1852370,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellamassilia,Prevotellamassilia timonensis,1691.8439383791,496.243627357359,0.293315249769901,9.54,JOA-3-MGE-L225
98,NR_147373.1,1,1532,3,1415,92.3629,2.73107,35.5,1,1852379,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Colibacter,Colibacter massiliensis,2.73107049608355,0.814307495873443,0.298164216940276,0.02,JOA-3-MGE-L225
99,NR_147381.1,1,1497,740,1397,93.32,675.527,39.4,59.8,1852381,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Duodenibacillus,Duodenibacillus massiliensis,675.527054108217,187.109631341042,0.27698317958272,3.78,JOA-3-MGE-L225
100,NR_147404.1,1,1493,1,1339,89.6852,0.896852,35.5,1,1816687,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Massiliprevotella,Massiliprevotella massiliensis,0.896851975887475,0.304254025867337,0.33924664721429,0.01,JOA-3-MGE-L225
101,NR_147760.1,1,1423,153,1384,97.2593,145.436,38.5,47.3,1630166,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium myosotis,145.435699226985,26.8852573920104,0.184860096488757,0.78,JOA-3-MGE-L225
102,NR_147761.1,1,1509,12,1383,91.6501,10.438,39.6,46.4,1630162,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium tissieri,10.4380384360504,3.3081621382982,0.316933316404798,0.06,JOA-3-MGE-L225
103,NR_147762.1,1,1381,23,1305,94.4967,21.5822,39.3,58.9,1630172,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium hapali,21.5821868211441,5.23408019657733,0.242518528819772,0.12,JOA-3-MGE-L225
104,NR_148589.1,1,1504,1,995,66.1569,0.661569,39.9,60,1547447,Bacteria,unclassified Bacteria kingdom,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus oricebi,0.66156914893617,0.473333260808315,0.715470577141413,0.01,JOA-3-MGE-L225
105,NR_148821.1,1,1492,4,1397,93.6327,3.65214,36,4.5,1462569,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caecicola,3.65214477211796,1.0450814622455,0.286155540772671,0.02,JOA-3-MGE-L225
106,NR_148822.1,1,1489,4,1391,93.4184,3.67159,38.6,1,1462571,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinaceum,3.67159167226326,1.01414999889227,0.276215355469286,0.02,JOA-3-MGE-L225
107,NR_156078.1,1,1412,1,1337,94.6884,0.946884,37.3,0,1469948,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Kineothrix,Kineothrix alysoides,0.946883852691218,0.224344527480655,0.236929299029682,0.01,JOA-3-MGE-L225
108,NR_156812.1,1,1480,1,1111,75.0676,0.750676,39.8,1,1871022,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella massiliensis,0.750675675675676,0.432768126992486,0.576504795633555,0.01,JOA-3-MGE-L225
109,NR_157614.1,1,1396,1,1143,81.8768,0.818768,34,1,1769423,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium apri,0.818767908309456,0.385348402430999,0.470644243039086,0.01,JOA-3-MGE-L225
111,NR_163613.1,1,1478,25,1376,93.0988,22.5582,37.9,22.3,2003188,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,Parolsenella catena,22.5581867388363,6.43547715734387,0.285283441964975,0.13,JOA-3-MGE-L225
112,NR_164634.1,1,1400,68,1379,98.5,64.6857,38.9,39.6,2045439,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium rousetti,64.6857142857143,9.26828753791273,0.143281830312255,0.35,JOA-3-MGE-L225
113,NR_164635.1,1,1401,3,1363,97.2877,2.89436,35.7,54.7,2562524,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium vespertilionis,2.89436117059243,0.508755802527584,0.175774816113723,0.02,JOA-3-MGE-L225
114,NR_165743.1,1,1454,2,1116,76.7538,1.13205,35.9,14.5,2490854,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella koreensis,1.13204951856946,0.761535058399694,0.672704723519536,0.01,JOA-3-MGE-L225
115,NR_169348.1,1,1367,132,1365,99.8537,130.23,39.2,29.6,2584944,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella faecalis,130.229700073153,7.98139647770254,0.061287067951621,0.67,JOA-3-MGE-L225
116,NR_170508.1,1,1542,11,1396,90.5318,9.76459,39.5,1.36,2518971,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella dubosii,9.76459143968872,3.34259928046684,0.342318396126709,0.06,JOA-3-MGE-L225
117,NR_170509.1,1,1538,16,1398,90.8973,14.0969,38.9,4.69,2530391,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella freteri,14.0968790637191,4.77418269886049,0.338669479767881,0.08,JOA-3-MGE-L225
118,NR_173691.1,1,1434,2,1351,94.212,1.76639,40.2,51.5,1871031,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Thermophilibacter,Thermophilibacter mediterraneus,1.76638772663877,0.543142164927098,0.307487510661452,0.01,JOA-3-MGE-L225
119,NR_173693.1,1,1478,1,1315,88.9716,0.889716,36.8,1,1852385,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Olsenella,Olsenella phocaeensis,0.889715832205683,0.31334964998856,0.352190709264708,0.01,JOA-3-MGE-L225
120,NR_175548.1,1,1528,2,1382,90.445,1.79058,39,1,2739389,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola faecicola,1.79057591623037,0.597409981323559,0.333641246879531,0.01,JOA-3-MGE-L225
121,NR_178237.1,1,1472,264,1388,94.2935,243.74,38.7,12.2,2801997,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella herbatica,243.739809782609,62.4912630039854,0.256385130765964,1.35,JOA-3-MGE-L225
122,NR_178840.1,1,1521,1,1375,90.4011,0.904011,35.7,1,1796616,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Blautia,Blautia pseudococcoides,0.904010519395135,0.294673699815497,0.32596268903227,0.01,JOA-3-MGE-L225
123,NR_178978.1,1,1529,121,1397,91.3669,106.785,38.1,11.6,1676614,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella rara,106.784826684107,35.2552232213074,0.330151991776884,0.62,JOA-3-MGE-L225
124,NR_179173.1,1,1401,4,1373,98.0014,3.90007,42.2,10.2,2126740,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium fessum,3.90007137758744,0.579414724936318,0.148565159157354,0.02,JOA-3-MGE-L225
125,NR_179270.1,1,1482,535,1397,94.2645,495.019,38.7,58.8,2654621,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium wakonense,495.018893387314,123.89390015221,0.250281154532162,2.73,JOA-3-MGE-L225
126,NR_179380.1,1,1492,3,1391,93.2306,2.73727,39.7,3.67,2854755,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella lacticifex,2.7372654155496,0.791897280638165,0.289302336609242,0.02,JOA-3-MGE-L225
127,NR_179431.1,1,1472,1,1341,91.1005,0.911005,35.1,1,1720204,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella ihumii,0.911005434782609,0.284832666365785,0.312657483139773,0.01,JOA-3-MGE-L225
128,NR_179442.1,1,1499,32,1402,93.529,28.7972,38.4,8.72,1776379,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella lascolaii,28.7971981320881,8.33519842986697,0.289444771384868,0.16,JOA-3-MGE-L225
129,NR_179444.1,1,1496,2,1369,91.5107,1.64238,36.3,1,1776388,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella phocaeensis,1.64237967914439,0.632282655740821,0.384979590145816,0.01,JOA-3-MGE-L225
130,NR_179449.1,1,1526,21,1401,91.8087,18.6933,37.3,26,2479840,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella marseillensis,18.6933158584535,6.05008992328545,0.32364990615346,0.11,JOA-3-MGE-L225
131,NR_179545.1,1,1471,4,1362,92.5901,3.61999,37.1,12.5,1870987,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella vaginalis,3.61998640380693,1.08250540829997,0.299035766311598,0.02,JOA-3-MGE-L225
132,NR_179604.1,1,1455,30,1372,94.2955,27.6935,39.5,17.3,1944635,Bacteria,unclassified Bacteria kingdom,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella seckii,27.693470790378,6.87505348097286,0.248255393230146,0.15,JOA-3-MGE-L225
133,NR_179932.1,1,1396,54,1352,96.8481,51.096,38.9,4.93,2144175,Bacteria,unclassified Bacteria kingdom,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii,51.095988538682,9.93538758926759,0.194445549903513,0.28,JOA-3-MGE-L225
134,NR_179975.1,1,1497,1,1355,90.5144,0.905144,38,19,2094150,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Duncaniella muris,0.905143620574482,0.293114378445209,0.323831900023969,0.01,JOA-3-MGE-L225
135,NR_179976.1,1,1379,2,1296,93.9811,1.87237,40.1,17,2094151,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Paramuribaculum intestinale,1.8723712835388,0.481544251759517,0.25718416854236,0.01,JOA-3-MGE-L225
136,NR_180431.1,1,1538,6,1388,90.2471,5.27048,38.6,3.83,2530390,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Muribaculum gordoncarteri,5.2704811443433,1.8367816901303,0.348503607133037,0.03,JOA-3-MGE-L225
137,NR_180452.1,1,1484,31,1383,93.1941,26.0863,38.7,16.5,2518605,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella hominis,26.0862533692722,9.25939079977524,0.354952881454496,0.16,JOA-3-MGE-L225
138,NR_180644.1,1,1305,1,1149,88.046,0.88046,41.6,18,2603815,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella avium,0.880459770114943,0.324547495434631,0.368611385154216,0.01,JOA-3-MGE-L225
139,NR_180797.1,1,1468,5,1389,94.6185,4.6451,38.6,17,2605778,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium porci,4.64509536784741,1.16061670800901,0.249858531655262,0.03,JOA-3-MGE-L225
140,NR_180820.1,1,1475,2,1382,93.6949,1.82847,32.5,10.5,2606632,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Porcincola,Porcincola intestinalis,1.82847457627119,0.518061874389999,0.283330094447626,0.01,JOA-3-MGE-L225
141,NR_180822.1,1,1501,1,1368,91.1392,0.911392,41.5,1,2606636,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Bilifractor,Bilifractor porci,0.911392405063291,0.284271220109033,0.311908699841856,0.01,JOA-3-MGE-L225
142,NR_180830.1,1,1459,4,1382,94.7224,3.68677,37.7,0.75,2606626,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus pleomorphus,3.68677176148047,0.97635091421036,0.264825429230882,0.02,JOA-3-MGE-L225
143,NR_180833.1,1,1470,1,1312,89.2517,0.892517,38.8,1,2606635,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Waltera,Waltera intestinalis,0.892517006802721,0.309831732670589,0.34714378584281,0.01,JOA-3-MGE-L225
144,NR_181010.1,1,1412,2,1166,82.5779,1.64873,40.8,3,2786956,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola faecalis,1.64872521246459,0.759428197641084,0.460615384479902,0.01,JOA-3-MGE-L225
145,NR_181266.1,1,1489,9,1388,93.2169,8.16118,36.9,1,2800387,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella illustrans,8.16118200134318,2.41485605880135,0.295895381135221,0.05,JOA-3-MGE-L225
146,NR_181379.1,1,1525,8,1396,91.541,7.21115,38.7,6.88,2725562,Bacteria,unclassified Bacteria kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Caecibacteroides,Caecibacteroides pullorum,7.21114754098361,2.25506290858053,0.312719008419143,0.04,JOA-3-MGE-L225
147,NR_181398.1,1,1390,11,1274,91.6547,9.94676,38.9,9.73,2763667,Bacteria,unclassified Bacteria kingdom,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Wansuia,Wansuia hejianensis,9.94676258992806,3.06963347955671,0.308606287905673,0.06,JOA-3-MGE-L225
148,NR_181796.1,1,1514,2,1378,91.0172,1.60172,36.5,13.5,2834431,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium phasiani,1.60171730515192,0.647755561167585,0.404413162724834,0.01,JOA-3-MGE-L225
149,NR_181797.1,1,1432,6,1178,82.2626,4.84637,39.4,23,2834432,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pongonis,4.8463687150838,2.28417842588637,0.471317508050328,0.03,JOA-3-MGE-L225
150,NR_181798.1,1,1516,4,1385,91.3588,3.6029,39,54.8,2834433,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium saguinibicoloris,3.60290237467018,1.15153713586731,0.31961374917152,0.02,JOA-3-MGE-L225
151,NR_181802.1,1,1522,1,1320,86.728,0.86728,39.3,19,2809027,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium amazonense,0.867279894875164,0.33938349447396,0.391319453476793,0.01,JOA-3-MGE-L225
152,NR_181803.1,1,1512,2,1371,90.6746,1.72553,34.2,6.5,2809028,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium santillanense,1.7255291005291,0.621208327414157,0.360010345362286,0.01,JOA-3-MGE-L225
153,NR_181804.1,1,1514,1,1367,90.2906,0.902906,40.6,0,2834436,Bacteria,unclassified Bacteria kingdom,Actinobacteria,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pluvialisilvae,0.902906208718626,0.296183269617558,0.328033262765898,0.01,JOA-3-MGE-L225
